iata,Year,Month,average_delay,volumne,airport,city,state,lat,long
ILM,2003,6,-2.5,2,Wilmington International,Wilmington,NC,34.27061111,-77.90255556
IND,2003,6,-5.0,1,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
ISP,2003,6,-7.0,2,Long Island - MacArthur,Islip,NY,40.7952425,-73.10021194
JAC,2003,6,-14.0,1,Jackson Hole,Jackson,WY,43.60732417,-110.7377389
JAN,2003,6,-7.0,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,2003,6,19.0,1,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2003,6,-2.25,8,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2003,6,-2.53846153846,13,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2003,6,1.27777777778,18,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LGA,2003,6,-2.14285714286,7,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,2003,6,-5.5,2,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LIT,2003,6,2.0,2,Adams ,Little Rock,AR,34.72939611,-92.22424556
MCI,2003,6,34.3333333333,3,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2003,6,-0.2,5,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDW,2003,6,-8.875,8,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2003,6,-8.0,2,Memphis International,Memphis,TN,35.04241667,-89.97666667
MGM,2003,6,-3.0,1,Montgomery Regional Apt,Montgomery,AL,32.30064417,-86.39397611
MHT,2003,6,-6.0,4,Manchester,Manchester,NH,42.93451639,-71.43705583
MIA,2003,6,12.0,9,Miami International,Miami,FL,25.79325,-80.29055556
MLU,2003,6,36.0,1,Monroe Regional,Monroe,LA,32.51086556,-92.03768778
MOB,2003,6,23.5,2,Mobile Regional,Mobile,AL,30.69141667,-88.24283333
MOT,2003,6,15.0,1,Minot International,Minot,ND,48.25937778,-101.2803339
MRY,2003,6,-5.5,2,Monterey Peninsula,Monterey,CA,36.5869825,-121.8429478
MSN,2003,6,16.5,2,Dane County Regional,Madison,WI,43.13985778,-89.33751361
MSP,2003,6,1.55555555556,9,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,2003,6,21.5,4,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAK,2003,6,-1.125,8,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,2003,6,6.5,4,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,2003,6,61.0,3,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,2003,6,-7.0,3,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,2003,6,-5.44827586207,29,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,2003,6,1.0,1,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,2003,6,-5.0,1,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,2003,6,17.0,5,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,2003,6,0.0,8,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,2003,6,2.6,20,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,2003,6,-5.33333333333,6,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PNS,2003,6,125.0,1,Pensacola Regional,Pensacola,FL,30.47330556,-87.18744444
PSP,2003,6,-13.0,2,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
PVD,2003,6,1.0,2,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
PWM,2003,6,8.0,1,Portland International Jetport,Portland,ME,43.64616667,-70.30875
RDU,2003,6,25.4,5,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RNO,2003,6,41.0,2,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROA,2003,6,38.0,1,Roanoke Regional/ Woodrum ,Roanoke,VA,37.32546833,-79.97542833
ROC,2003,6,61.0,1,Greater Rochester Int'l,Rochester,NY,43.11886611,-77.67238389
RSW,2003,6,-9.0,1,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,2003,6,-2.66666666667,12,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,2003,6,61.0,2,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SBA,2003,6,85.0,1,Santa Barbara Municipal,Santa Barbara,CA,34.42621194,-119.8403733
SBP,2003,6,-3.0,1,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,35.23705806,-120.6423931
SDF,2003,6,0.333333333333,3,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,2003,6,-0.5,6,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,2003,6,6.375,16,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SJC,2003,6,22.8888888889,9,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,2003,6,-0.75,12,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,2003,6,35.0,3,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
SNA,2003,6,42.0,6,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
SPS,2003,6,6.0,1,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,33.98879611,-98.49189333
SRQ,2003,6,0.0,1,Sarasota Bradenton International,Sarasota,FL,27.39533333,-82.55411111
STL,2003,6,-7.25,12,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,2003,6,-25.0,2,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TPA,2003,6,-2.75,4,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,2003,6,0.0,1,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,2003,6,-7.0,2,Tucson International,Tucson,AZ,32.11608333,-110.9410278
TWF,2003,6,11.0,1,Joslin Field - Magic Valley,Twin Falls,ID,42.48180389,-114.4877356
XNA,2003,6,-26.0,1,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,36.28186944,-94.30681111
ABQ,2004,6,33.0,4,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ACV,2004,6,-7.0,2,Arcata,Arcata/Eureka,CA,40.97811528,-124.1086189
AGS,2004,6,51.0,1,Bush ,Augusta,GA,33.369955,-81.96449611
ALB,2004,6,22.0,2,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,2004,6,23.3055555556,36,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,2004,6,5.75,4,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AVP,2004,6,-1.0,1,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,41.33814944,-75.7242675
BDL,2004,6,-15.0,3,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,2004,6,0.0,2,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BNA,2004,6,13.6,5,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOS,2004,6,-3.54545454545,11,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BUR,2004,6,-2.0,1,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,2004,6,-5.375,8,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
CAE,2004,6,24.25,4,Columbia Metropolitan,Columbia,SC,33.93884,-81.11953944
CHS,2004,6,29.3333333333,3,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CLE,2004,6,41.0,4,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,2004,6,2.38461538462,13,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,2004,6,53.6666666667,3,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
CMI,2004,6,-13.0,1,University of Illinois-Willard,Champaign/Urbana,IL,40.03925,-88.27805556
COS,2004,6,10.0,2,City of Colorado Springs Muni,Colorado Springs,CO,38.80580556,-104.70025
CRP,2004,6,6.0,1,Corpus Christi International,Corpus Christi,TX,27.77036083,-97.50121528
CVG,2004,6,10.05,20,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAB,2004,6,4.0,2,Daytona Beach International,Daytona Beach,FL,29.17991667,-81.05805556
DAL,2004,6,5.0,2,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,2004,6,1.0,1,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,2004,6,13.25,8,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,2004,6,10.7,10,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,2004,6,20.1153846154,26,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DHN,2004,6,8.0,1,Dothan ,Dothan,AL,31.32133917,-85.44962889
DSM,2004,6,-5.0,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,2004,6,19.6666666667,6,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,2004,6,-8.0,1,El Paso International,El Paso,TX,31.80666667,-106.3778056
EUG,2004,6,-4.0,1,Mahlon Sweet ,Eugene,OR,44.12326,-123.2186856
EWR,2004,6,-4.0,8,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FCA,2004,6,0.5,2,Glacier Park Intl,Kalispell,MT,48.31140472,-114.2550694
FLL,2004,6,21.5,6,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
GEG,2004,6,-2.0,1,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GSO,2004,6,39.5,2,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
GSP,2004,6,1.0,2,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
HLN,2004,6,86.0,1,Helena Regional,Helena,MT,46.60681806,-111.9827503
HOU,2004,6,23.0,2,William P Hobby,Houston,TX,29.64541861,-95.27888889
HSV,2004,6,-3.0,2,Huntsville International ,Huntsville,AL,34.6404475,-86.77310944
IAD,2004,6,3.2,10,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2004,6,13.45,20,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
IDA,2004,6,5.0,1,Idaho Falls Regional,Idaho Falls,ID,43.51455556,-112.0701667
IND,2004,6,2.0,5,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
ISP,2004,6,0.0,1,Long Island - MacArthur,Islip,NY,40.7952425,-73.10021194
JAN,2004,6,5.0,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,2004,6,7.0,1,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2004,6,1.125,8,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2004,6,8.72727272727,11,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2004,6,11.4482758621,29,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LGA,2004,6,4.18181818182,11,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,2004,6,-2.33333333333,3,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LIT,2004,6,5.33333333333,3,Adams ,Little Rock,AR,34.72939611,-92.22424556
MCI,2004,6,10.2,5,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2004,6,21.5,8,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,2004,6,26.0,1,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,2004,6,3.875,8,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEI,2004,6,17.0,1,Key ,Meridian,MS,32.33313333,-88.75120556
MEM,2004,6,61.0,2,Memphis International,Memphis,TN,35.04241667,-89.97666667
MGM,2004,6,0.5,2,Montgomery Regional Apt,Montgomery,AL,32.30064417,-86.39397611
MHT,2004,6,50.6666666667,3,Manchester,Manchester,NH,42.93451639,-71.43705583
MIA,2004,6,-3.4,5,Miami International,Miami,FL,25.79325,-80.29055556
MKE,2004,6,38.4,5,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MRY,2004,6,-9.0,1,Monterey Peninsula,Monterey,CA,36.5869825,-121.8429478
MSP,2004,6,-0.875,16,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,2004,6,5.5,6,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAK,2004,6,-4.33333333333,3,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OMA,2004,6,3.5,2,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,2004,6,46.6666666667,3,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,2004,6,15.96875,32,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,2004,6,14.5,2,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,2004,6,42.75,4,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,2004,6,3.0,6,Portland Intl,Portland,OR,45.58872222,-122.5975
PHF,2004,6,23.0,1,Newport News/Williamsburg International,Newport News,VA,37.13189556,-76.4929875
PHL,2004,6,-6.44444444444,9,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,2004,6,-8.23076923077,13,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIA,2004,6,-7.0,1,Greater Peoria Regional,Peoria,IL,40.66424333,-89.69330556
PIT,2004,6,1.14285714286,7,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PNS,2004,6,0.0,1,Pensacola Regional,Pensacola,FL,30.47330556,-87.18744444
PSC,2004,6,-4.5,2,Tri-Cities,Pasco,WA,46.26468028,-119.1190292
PSP,2004,6,-9.0,2,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
PVD,2004,6,-14.0,4,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
PWM,2004,6,-3.66666666667,3,Portland International Jetport,Portland,ME,43.64616667,-70.30875
RDM,2004,6,-3.0,1,Roberts ,Redmond,OR,44.25406722,-121.1499633
RDU,2004,6,4.33333333333,6,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,2004,6,38.0,2,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,2004,6,3.0,1,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
RSW,2004,6,-14.0,1,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,2004,6,15.9,10,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,2004,6,-4.5,2,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SBA,2004,6,8.0,1,Santa Barbara Municipal,Santa Barbara,CA,34.42621194,-119.8403733
SEA,2004,6,8.0,7,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,2004,6,-3.625,8,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SHV,2004,6,-9.0,1,Shreveport Regional,Shreveport,LA,32.4466275,-93.82559833
SJC,2004,6,0.4,5,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,2004,6,14.5,16,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,2004,6,3.0,3,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
